id,text
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal ."
1,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .
2,"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece ."
3,Yet the act is still charming here .
4,"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow ."
5,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .
6,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .
7,a screenplay more ingeniously constructed than `` Memento ''
8,`` Extreme Ops '' exceeds expectations .
9,"Good fun , good action , good acting , good dialogue , good pace , good cinematography ."
10,Dramas like this make it human .
11,"Still , this flick is fun , and host to some truly excellent sequences ."
12,Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .
13,You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .
14,Absorbing character study by André Turpin .
15,"If you love reading and\/or poetry , then by all means check it out ."
16,You 'll probably love it .
17,"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''"
18,"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue ."
19,The actors are fantastic .
20,They are what makes it worth the trip to the theatre .
21,"( Taymor ) utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work ."
22,This is n't a new idea .
23,It 's been done before but never so vividly or with so much passion .
24,( `` Take Care of My Cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .
25,What `` Empire '' lacks in depth it makes up for with its heart .
26,"Light , silly , photographed with colour and depth , and rather a good time ."
27,But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...
28,Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .
29,Their computer-animated faces are very expressive .
30,"... spiced with humor ( ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around )"
31,There 's an energy to Y Tu Mamá También .
32,"Much of it comes from the brave , uninhibited performances by its lead actors ."
33,`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era
34,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? ''
35,"feeling to it , but like the 1920 's , the trip there is a great deal of fun ."
36,`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! ''
37,Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .
38,"But believe it or not , it 's one of the most beautiful , evocative works I 've seen ."
39,"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh ."
40,"( City ) reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' ( 1999 ) and ` Analyze That , ' promised ( or threatened ) for later this year ."
41,The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .
42,"`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different ( and better ) than most films with this theme ."
43,"For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half ."
44,"It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you ."
45,"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story ."
46,A crisp psychological drama ( and ) a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .
47,It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .
48,"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '"
49,( The Cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable . '
50,"A smart , steamy mix of road movie , coming-of-age story and political satire ."
51,The modern-day royals have nothing on these guys when it comes to scandals .
52,It 's only in fairy tales that princesses that are married for political reason live happily ever after .
53,"A terrific B movie -- in fact , the best in recent memory ."
54,`` Birthday Girl '' is an actor 's movie first and foremost .
55,I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .
56,"For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven ."
57,What 's really so appealing about the characters is their resemblance to everyday children .
58,An absurdist spider web .
59,"If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film ."
60,Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share .
61,Allen 's funniest and most likeable movie in years .
62,It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .
63,This comic gem is as delightful as it is derivative .
64,"More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food ."
65,"The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits ."
66,"The production has been made with an enormous amount of affection , so we believe these characters love each other ."
67,Certainly the performances are worthwhile .
68,"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars ."
69,Watching these eccentrics is both inspiring and pure joy .
70,Steven Spielberg brings us another masterpiece
71,"Finally , the French-produced `` Read My Lips '' is a movie that understands characters must come first ."
72,"Ms. Seigner and Mr. Serrault bring fresh , unforced naturalism to their characters ."
73,Allen shows he can outgag any of those young whippersnappers making moving pictures today .
74,"A good film with a solid pedigree both in front of and , more specifically , behind the camera ."
75,"By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story ."
76,I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !
77,A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .
78,High Crimes steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience .
79,If you 're a fan of the series you 'll love it and probably want to see it twice .
80,I will be .
81,"It celebrates the group 's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '"
82,"The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is ."
83,It is also a testament to the integrity and vision of the band .
84,"Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale ."
85,"Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine ."
86,Nair does n't treat the issues lightly .
87,She allows each character to confront their problems openly and honestly .
88,"One of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers ."
89,The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them .
90,Strange occurrences build in the mind of the viewer and take on extreme urgency .
91,"Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement ."
92,Familiar but utterly delightful .
93,"A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction ."
94,"The film aims to be funny , uplifting and moving , sometimes all at once ."
95,The extent to which it succeeds is impressive .
96,"The film brilliantly shines on all the characters , as the direction is intelligently accomplished ."
97,"While not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy ."
98,"As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism ."
99,"In addition to Hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday ."
100,Jeffrey Tambor 's performance as the intelligent jazz-playing exterminator is Oscar-worthy .
101,"From the opening strains of the Average White Band 's `` Pick up the Pieces '' , you can feel the love ."
102,Stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .
103,that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture
104,Meyjes ' provocative film might be called an example of the haphazardness of evil .
105,The movie is pretty funny now and then without in any way demeaning its subjects .
106,imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson 's Far Side humor
107,"Too damn weird to pass up , and for the blacklight crowd , way cheaper ( and better ) than Pink Floyd tickets ."
108,"It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth ."
109,It 's not a great monster movie .
110,"Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating ."
111,"Miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet ."
112,Time Out is existential drama without any of the pretension associated with the term .
113,"It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth ."
114,Writer\/director Alexander Payne ( Election ) and his co-writer Jim Taylor brilliantly employ their quirky and fearless ability to look American angst in the eye and end up laughing .
115,"It 's tough to watch , but it 's a fantastic movie ."
116,The best animated feature to hit theaters since Beauty and the Beast 11 years ago .
117,What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera 's attention to detail .
118,Pacino is the best he 's been in years and Keener is marvelous .
119,"A solid , spooky entertainment worthy of the price of a ticket ."
120,"By turns fanciful , grisly and engagingly quixotic ."
121,"... very funny , very enjoyable ..."
122,Adaptation is intricately constructed and in a strange way nails all of Orlean 's themes without being a true adaptation of her book .
123,So purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .
124,Moonlight Mile gives itself the freedom to feel contradictory things .
125,"It is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter ."
126,"The real triumphs in Igby come from Philippe , who makes Oliver far more interesting than the character 's lines would suggest , and Sarandon , who could n't be better as a cruel but weirdly likable WASP matron ."
127,Robin Williams has thankfully ditched the saccharine sentimentality of Bicentennial Man in favour of an altogether darker side .
128,"If you 're willing to have fun with it , you wo n't feel cheated by the high infidelity of Unfaithful ."
129,Australia : Land Beyond Time is an enjoyable Big Movie primarily because Australia is a weirdly beautiful place .
130,Hoffman 's performance is authentic to the core of his being .
131,Told just proficiently enough to trounce its overly comfortable trappings .
132,"An enthralling aesthetic experience , one that 's steeped in mystery and a ravishing , baroque beauty ."
133,The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths .
134,A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .
135,What could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey .
136,Duvall is strong as always .
137,A no-holds-barred cinematic treat .
138,You 'd have to be a most hard-hearted person not to be moved by this drama .
139,Allen 's underestimated charm delivers more goodies than lumps of coal .
140,"Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs , Red Dragon rates as an exceptional thriller ."
141,"Maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor ."
142,It makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film .
143,"Too often , Son of the Bride becomes an exercise in trying to predict when a preordained `` big moment '' will occur and not `` if . ''"
144,"The picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life , but also acknowledging the places , and the people , from whence you came ."
145,A terrific insider look at the star-making machinery of tinseltown .
146,It 's a diverting enough hour-and-a-half for the family audience .
147,A party-hearty teen flick that scalds like acid .
148,As giddy and whimsical and relevant today as it was 270 years ago .
149,The film offers an intriguing what-if premise .
150,The Pianist is the film Roman Polanski may have been born to make .
151,This version does justice both to Stevenson and to the sci-fi genre .
152,Poignant and delicately complex .
153,"Enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers ."
154,Cho 's latest comic set is n't as sharp or as fresh as I 'm the One That I Want ... but it 's still damn funny stuff .
155,"In The Pianist , Polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions , and he allows nothing to get in the way ."
156,"Despite the film 's shortcomings , the stories are quietly moving ."
157,"If you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy ."
158,This bracingly truthful antidote to Hollywood teenage movies that slather Clearasil over the blemishes of youth captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characterize puberty .
159,It 's the filmmakers ' post-camp comprehension of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion .
160,"The film 's strength is n't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears ."
161,"It has its faults , but it is a kind , unapologetic , sweetheart of a movie , and Mandy Moore leaves a positive impression ."
162,"The Saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and The Quiet American brings us right into the center of that world ."
163,"Despite its shortcomings , Girls Ca n't Swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the French coming-of-age genre ."
164,"With Dirty Deeds , David Caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen ."
165,The humor and humanity of Monsoon Wedding are in perfect balance .
166,"Lookin ' for sin , American-style ?"
167,A compelling motion picture that illustrates an American tragedy .
168,"As comedic spotlights go , Notorious C.H.O. hits all the verbal marks it should ."
169,It 's a day at the beach -- with air conditioning and popcorn .
170,Frida is n't that much different from many a Hollywood romance .
171,"What sets it apart is the vision that Taymor , the avant garde director of Broadway 's The Lion King and the film Titus , brings ."
172,"Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid ."
173,"Extremely well acted by the four primary actors , this is a seriously intended movie that is not easily forgotten ."
174,The film exudes the urbane sweetness that Woody Allen seems to have bitterly forsaken .
175,"K-19 : The Widowmaker is derivative , overlong , and bombastic -- yet surprisingly entertaining ."
176,"It 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart ."
177,"Cineasts will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of Miramax chief Harvey Weinstein 's bluff personal style to the stylistic rigors of Denmark 's Dogma movement ."
178,It 's a rare window on an artistic collaboration .
179,"... begins with promise , but runs aground after being snared in its own tangled plot ."
180,Perhaps the best sports movie I 've ever seen .
181,Cho 's timing is priceless .
182,"A sensitive , moving , brilliantly constructed work ."
183,An edgy thriller that delivers a surprising punch .
184,A reasonably entertaining sequel to 1994 's surprise family hit that may strain adult credibility .
185,( Reno ) delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .
186,there is truth here
187,"a confident , richly acted , emotionally devastating piece of work and 2002 's first great film"
188,"A touching , small-scale story of family responsibility and care in the community ."
189,Arteta directs one of the best ensemble casts of the year
190,The casting of von Sydow ... is itself Intacto 's luckiest stroke .
191,"No , it 's not as single-minded as John Carpenter 's original , but it 's sure a lot smarter and more unnerving than the sequels ."
192,"A gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable ."
193,"Stands as one of the year 's most intriguing movie experiences , letting its imagery speak for it while it forces you to ponder anew what a movie can be ."
194,"... the first 2\/3 of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor ..."
195,This movie got me grinning .
196,There 's a part of us that can not help be entertained by the sight of someone getting away with something .
197,An old-fashioned drama of substance about a teacher 's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue .
198,"What 's not to like about a movie with a ` children 's ' song that includes the line ` My stepdad 's not mean , he 's just adjusting ' ?"
199,The pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies .
200,"Not everyone will welcome or accept The Trials of Henry Kissinger as faithful portraiture , but few can argue that the debate it joins is a necessary and timely one ."
201,"There are no special effects , and no Hollywood endings ."
202,"Like the original , this version is raised a few notches above kiddie fantasy pablum by Allen 's astringent wit ."
